Query Prec-5 Prec-20
3 0.0 0.0
59 0.4 0.2
58 0.2 0.4
64 0.0 0.05
2 0.6 0.15
1 0.2 0.1
63 1.0 0.45
5 0.2 0.15
4 0.4 0.1
62 0.0 0.0
48 0.0 0.05
6 0.2 0.1
60 0.0 0.05
61 0.6 0.6
7 0.4 0.6
49 0.2 0.15
12 0.2 0.1
13 0.2 0.4
11 0.6 0.4
39 0.2 0.3
38 0.0 0.05
10 0.8 0.65
28 0.8 0.2
14 0.2 0.15
15 0.2 0.2
29 0.2 0.45
17 0.0 0.35
16 0.2 0.1
33 0.0 0.0
27 0.6 0.4
26 0.0 0.1
32 0.2 0.05
24 0.2 0.05
30 0.0 0.05
18 0.0 0.15
19 0.8 0.3
31 0.0 0.1
25 0.6 0.3
21 0.0 0.1
20 0.4 0.1
36 0.4 0.3
22 0.2 0.2
23 0.4 0.2
37 0.2 0.2
44 0.4 0.15
45 0.4 0.45
9 0.0 0.25
8 0.4 0.15
42 0.0 0.2
57 0.2 0.05
43 0.0 0.35
40 0.4 0.2
