Query Prec-5 Prec-20
3 0.0 0.05
59 0.4 0.25
58 0.6 0.25
64 0.2 0.05
2 0.6 0.15
1 0.2 0.1
63 0.8 0.35
5 0.2 0.1
4 0.4 0.1
62 0.0 0.05
48 0.0 0.05
6 0.2 0.1
60 0.2 0.15
61 1.0 0.5
7 0.6 0.4
49 0.2 0.15
12 0.4 0.1
13 0.6 0.2
11 0.6 0.35
39 0.4 0.2
38 0.6 0.35
10 0.6 0.55
28 0.8 0.2
14 0.0 0.05
15 0.2 0.15
29 0.2 0.25
17 0.2 0.2
16 0.0 0.05
33 0.0 0.05
27 0.4 0.35
26 0.0 0.25
32 0.2 0.05
24 0.0 0.05
30 0.2 0.1
18 0.2 0.1
19 0.8 0.3
31 0.2 0.05
25 0.2 0.3
21 0.2 0.2
20 0.4 0.1
36 0.2 0.35
22 0.2 0.25
23 0.6 0.15
37 0.2 0.2
44 0.4 0.15
45 0.6 0.25
9 0.2 0.15
8 0.4 0.1
42 0.0 0.1
57 0.2 0.05
43 0.4 0.3
40 0.4 0.2
