Query Prec-5 Prec-20
3 0.0 0.0
59 0.6 0.35
58 0.4 0.35
64 0.0 0.05
2 0.6 0.15
1 0.4 0.1
63 1.0 0.3
5 0.2 0.1
4 0.2 0.1
62 0.0 0.0
48 0.0 0.0
6 0.0 0.1
60 0.2 0.1
61 1.0 0.5
7 0.6 0.3
49 0.2 0.1
12 0.4 0.1
13 0.6 0.2
11 0.6 0.35
39 0.4 0.25
38 0.2 0.05
10 0.4 0.55
28 0.6 0.2
14 0.0 0.05
15 0.2 0.05
29 0.0 0.25
17 0.4 0.2
16 0.2 0.1
33 0.0 0.0
27 0.4 0.35
26 0.0 0.25
32 0.2 0.05
24 0.2 0.1
30 0.2 0.05
18 0.0 0.1
19 0.8 0.3
31 0.0 0.05
25 0.4 0.35
21 0.0 0.15
20 0.4 0.1
36 0.2 0.25
22 0.2 0.1
23 0.6 0.15
37 0.2 0.05
44 0.4 0.15
45 0.6 0.25
9 0.2 0.2
8 0.4 0.1
42 0.0 0.2
57 0.2 0.05
43 0.4 0.3
40 0.4 0.15
