Query Prec-5 Prec-20
3 0.0 0.0
59 1.0 0.75
58 1.0 0.75
64 1.0 0.25
2 1.0 0.75
1 0.0 0.25
63 1.0 1.0
5 0.0 0.25
4 1.0 0.5
62 0.0 0.0
48 0.0 0.0
6 0.0 0.5
60 0.0 0.5
61 1.0 1.0
7 1.0 0.5
49 0.0 0.25
12 1.0 0.5
13 1.0 0.75
11 1.0 0.75
39 1.0 0.5
38 1.0 0.25
10 1.0 0.5
28 1.0 0.75
14 0.0 0.0
15 0.0 0.25
29 0.0 0.0
17 0.0 0.25
16 0.0 0.0
33 0.0 0.0
27 1.0 0.75
26 0.0 0.0
32 1.0 0.25
24 1.0 0.25
30 0.0 0.25
18 1.0 0.25
19 1.0 0.75
31 0.0 0.25
25 1.0 0.25
21 1.0 0.5
20 1.0 0.75
36 0.0 0.25
22 1.0 1.0
23 1.0 0.75
37 1.0 0.5
44 1.0 0.5
45 0.0 0.75
9 0.0 0.5
8 0.0 0.5
42 0.0 0.0
57 1.0 0.25
43 0.0 0.25
40 1.0 0.5
