Query Prec-5 Prec-20
3 0.0 0.0
59 0.2 0.3
58 0.8 0.3
64 0.0 0.05
2 0.4 0.15
1 0.0 0.05
63 0.4 0.3
5 0.2 0.1
4 0.2 0.05
62 0.0 0.05
48 0.2 0.1
6 0.0 0.15
60 0.4 0.25
61 0.6 0.4
7 0.4 0.15
49 0.0 0.0
12 0.4 0.1
13 0.2 0.15
11 1.0 0.35
39 0.2 0.2
38 0.8 0.35
10 0.6 0.35
28 0.6 0.2
14 0.2 0.1
15 0.2 0.15
29 0.2 0.25
17 0.0 0.05
16 0.0 0.0
33 0.2 0.05
27 0.4 0.55
26 0.0 0.0
32 0.2 0.05
24 0.2 0.1
30 0.2 0.05
18 0.0 0.15
19 0.4 0.25
31 0.2 0.1
25 0.6 0.35
21 0.2 0.1
20 0.2 0.05
36 0.2 0.1
22 0.8 0.4
23 0.6 0.2
37 0.4 0.1
44 0.4 0.1
45 0.2 0.2
9 0.2 0.1
8 0.0 0.05
42 0.2 0.2
57 0.2 0.05
43 0.2 0.2
40 0.0 0.15
