Query Prec-5 Prec-20
3 0.0 0.0
59 0.0 0.3
58 0.6 0.25
64 0.0 0.05
2 0.2 0.05
1 0.0 0.05
63 0.4 0.25
5 0.2 0.1
4 0.2 0.05
62 0.0 0.05
48 0.0 0.2
6 0.0 0.1
60 0.4 0.2
61 0.4 0.35
7 0.4 0.2
49 0.0 0.0
12 0.4 0.1
13 0.4 0.15
11 0.8 0.3
39 0.2 0.2
38 0.2 0.1
10 0.4 0.35
28 0.6 0.2
14 0.2 0.2
15 0.2 0.15
29 0.4 0.35
17 0.0 0.05
16 0.2 0.05
33 0.0 0.05
27 0.2 0.45
26 0.0 0.0
32 0.2 0.05
24 0.2 0.05
30 0.2 0.05
18 0.0 0.2
19 0.2 0.2
31 0.2 0.1
25 0.6 0.4
21 0.2 0.05
20 0.0 0.05
36 0.2 0.1
22 0.6 0.3
23 0.6 0.2
37 0.4 0.1
44 0.2 0.1
45 0.2 0.3
9 0.2 0.15
8 0.0 0.1
42 0.4 0.15
57 0.2 0.05
43 0.2 0.2
40 0.0 0.15
